Test  | A*        | A* time   | A* len    | D* Lite   | D* time   | D* len    
712   | Path found| 0.978     | 69        | Path found| 5.085     | 69        
713   | Path found| 0.074     | 11        | Path found| 0.325     | 11        
714   | Path found| 0.229     | 41        | Path found| 1.922     | 41        
715   | Path found| 0.215     | 45        | Path found| 1.942     | 45        
716   | Path found| 0.464     | 57        | Path found| 3.041     | 57        
717   | Path found| 0.069     | 27        | Path found| 0.315     | 27        
718   | Path found| 0.564     | 65        | Path found| 4.273     | 65        
719   | Path found| 0.060     | 13        | Path found| 0.281     | 13        
720   | Path found| 0.254     | 49        | Path found| 1.925     | 49        
721   | Path found| 0.203     | 39        | Path found| 1.168     | 39        
722   | Path found| 0.099     | 21        | Path found| 0.444     | 21        
723   | Path found| 0.340     | 45        | Path found| 1.737     | 45        
724   | Path found| 0.195     | 31        | Path found| 1.174     | 31        
725   | Path found| 0.445     | 61        | Path found| 4.024     | 61        
726   | Path found| 0.074     | 13        | Path found| 0.362     | 13        
727   | Path found| 0.510     | 47        | Path found| 2.213     | 47        
728   | Path found| 0.429     | 55        | Path found| 2.482     | 55        
729   | Path found| 0.074     | 14        | Path found| 0.411     | 14        
730   | Path found| 0.059     | 12        | Path found| 0.268     | 12        
731   | Path found| 0.093     | 16        | Path found| 0.477     | 16        
732   | Path found| 0.270     | 49        | Path found| 2.205     | 49        
733   | Path found| 0.319     | 42        | Path found| 1.996     | 42        
734   | Path found| 0.096     | 17        | Path found| 0.442     | 17        
735   | Path found| 0.117     | 20        | Path found| 0.608     | 20        
736   | Path found| 0.155     | 31        | Path found| 1.259     | 31        
737   | Path found| 0.257     | 45        | Path found| 1.494     | 45        
738   | Path found| 0.113     | 25        | Path found| 0.851     | 25        
739   | Path found| 0.058     | 13        | Path found| 0.240     | 13        
740   | Path found| 0.217     | 32        | Path found| 1.250     | 32        
741   | Path found| 0.281     | 35        | Path found| 1.220     | 35        
742   | Path found| 0.076     | 14        | Path found| 0.379     | 14        
